constsy : const
intsy : int
ident : num_0
becomes : =
intcon : 0
semicolon : ;
intsy : int
ident : num
lbrack : [
intcon : 100
rbrack : ]
semicolon : ;
intsy : int
ident : getpower
lparent : (
intsy : int
ident : a
comma : ,
intsy : int
ident : n
rparent : )
lbrace : {
ifsy : if
lparent : (
ident : n
gte : >=
intcon : 1
rparent : )
lbrace : {
ident : num
lbrack : [
ident : n
sub : -
intcon : 1
rbrack : ]
becomes : =
ident : getpower
lparent : (
ident : a
comma : ,
ident : n
sub : -
intcon : 1
rparent : )
semicolon : ;
returnsy : return
lparent : (
ident : a
mul : *
ident : num
lbrack : [
ident : n
sub : -
intcon : 1
rbrack : ]
rparent : )
semicolon : ;
rbrace : }
elsesy : else
lbrace : {
ident : n
becomes : =
intcon : 1
semicolon : ;
returnsy : return
lparent : (
ident : n
rparent : )
semicolon : ;
rbrace : }
rbrace : }
charsy : char
ident : getchar
lparent : (
charsy : char
ident : ch
rparent : )
lbrace : {
returnsy : return
lparent : (
ident : ch
sub : -
charcon : A
add : +
charcon : a
rparent : )
semicolon : ;
rbrace : }
intsy : int
ident : test
lparent : (
intsy : int
ident : test
rparent : )
lbrace : {
returnsy : return
lparent : (
ident : test
rparent : )
semicolon : ;
rbrace : }
voidsy : void
ident : aaa
lparent : (
rparent : )
lbrace : {
returnsy : return
semicolon : ;
rbrace : }
voidsy : void
mainsy : main
lparent : (
rparent : )
lbrace : {
intsy : int
ident : a
lbrack : [
intcon : 100
rbrack : ]
semicolon : ;
ident : a
lbrack : [
intcon : 100
rbrack : ]
becomes : =
intcon : 10
semicolon : ;
rbrace : }
